#{"t_start": 1590684110.992594, "env_id": "zhedLevel5-v0"}
r,l,t
-1030,8,10.214122
-990,6,10.21712
-1020,9,10.222117
-980,5,10.225116
-1020,7,10.229114
-1000,7,10.23411
-1050,10,10.240107
-1020,9,10.246103
-1050,10,10.2521
-1010,6,10.255098
-1020,9,10.262094
-1060,11,10.268091
-1100,17,10.281083
-1020,5,10.283082
-1050,8,10.34005
-1060,9,10.345046
-1010,6,10.349044
-1080,13,10.358039
-1040,9,10.363036
-1070,12,10.369033
-1000,5,10.372031
-1080,13,10.380027
-1020,7,10.384024
-1050,12,10.39202
-1030,8,10.396017
-1040,9,10.401014
-1020,9,10.407011
-1020,7,10.411009
-970,4,10.413008
-990,4,10.466977
-980,5,10.470974
-1080,9,10.474972
-1070,10,10.480968
-1020,7,10.484966
-1000,5,10.487964
-1030,10,10.49596
-1010,6,10.498958
-1030,6,10.501956
-1050,8,10.505954
-1000,5,10.508952
-970,4,10.51195
-1090,12,10.517947
-1020,7,10.521945
-1000,7,10.526942
-1030,10,10.533938
-1000,5,10.536936
-1020,7,10.540934
-970,4,10.594903
-1110,16,10.605896
-1020,7,10.609894
-1020,5,10.612892
-980,5,10.61589
-1060,11,10.622887
-1180,23,10.634879
-1080,13,10.642875
-1060,11,10.648872
-1110,16,10.658866
-1000,5,10.661864
-1010,6,10.665862
-1020,7,10.670859
-1080,13,10.729825
-1030,8,10.734822
-1040,9,10.73982
-1140,17,10.747815
-1020,7,10.751812
-980,5,10.75581
-1030,8,10.759808
-1100,15,10.767804
-1020,9,10.7728
-1010,4,10.774799
-990,6,10.778797
-1040,9,10.784794
-1000,7,10.788791
-1010,6,10.791789
-1050,8,10.847758
-1000,7,10.852754
-1090,12,10.85875
-1000,5,10.861749
-1050,8,10.865747
-990,6,10.869745
-1010,6,10.873742
-1030,6,10.87674
-1070,10,10.881737
-1040,7,10.884736
-1020,7,10.888733
-990,4,10.891732
-1010,6,10.89473
-1020,7,10.898728
-1090,16,10.909722
-1090,12,10.915718
-1000,5,10.918716
-1020,7,10.973685
-1020,7,10.978682
-1010,8,10.983679
-1070,12,10.989675
-1010,6,10.992673
-1070,12,10.999669
-1010,6,11.002668
-1020,5,11.005666
-1030,8,11.009664
-1030,8,11.014661
-1100,15,11.022657
-1000,7,11.027654
-1050,8,11.031651
-1050,10,11.036649
-1040,11,11.043644
-1020,7,11.100611
-1030,6,11.10361
-1020,5,11.105608
-1090,14,11.112604
-1010,8,11.117601
-1010,8,11.122599
-990,4,11.125597
-970,4,11.128595
-1010,6,11.131593
-1040,11,11.138589
-1050,8,11.142587
-980,5,11.145585
-1010,6,11.148584
-1060,11,11.15558
-1020,5,11.158578
-1010,6,11.161576
-1130,18,11.225539
-1090,12,11.231536
-990,4,11.233535
-1030,6,11.236533
